NAME,EMAIL ID,PHONE NO,Q1,Q2,Q3,Q4,Q5
Akshay,akshay123@gmail.com,9447595440,3,5,2,1,2
Vamshy,vamshy45@gmail.com,9880475920,5,1,5,4,4
Kajal,kajal@gmail.com,9887451023,1,2,4,1,1
Yuva,yuva@hotmail.com,7651493201,5,3,4,4,4
ranjit M,,,4,2,3,1,2
Dheeraj,dj@gmail.com,8105167969,3,2,1,1,1
Kaushik R,,3413695143,4,5,5,5,
Vishnu ,vishnu369@gmail.com,2880457154,4,2,5,4,4
Aditya ,,,5,,4,4,4
Harshita,harshitam@gmail.com,8874561002,2,2,1,1,1
David,davidw@hotmail.com,2417895124,,5,2,4,3
,,,4,3,1,1,1
Rashid,rashidkhan@gmail.com,5678610310,5,5,5,5,
Nikhil,nikhil144@gmail.com,,4,2,,,3
Warner,,,4,1,4,3,2
Chetan ,,4745168425,2,5,1,1,1
Anushka,,,1,5,,,1
Mahesh,maheshb@gmail.com,4698451207,5,2,5,4,3
Manu,manu@hotmail.com,,3,1,3,1,2
Syed ,syedq@gmail.com,5800124547,2,1,1,1,
Jacky,jackym12@gmail.com,,,5,2,3,1
Paul K,pk5@hotmail.com,3945874564,4,1,3,2,2
Prabas,,,2,2,1,1,0
rajiv k,rajivk09@gmail.com,,4,1,1,,
Surya,suryacvn@gmail.com,4895210947,1,,1,1,1
Nazir M,mnazir@gmail.com,,5,2,4,2,2
Tamanna,,,5,2,3,3,3
Rashmika,rashmika485@gmail.com,,4,3,3,1,2
,,,5,4,5,5,4
Mathews,,5412365201,1,1,1,1,1
mike,mr55@gmail.com,2849731024,4,4,3,3,3
Paula ,,3014574510,2,3,4,2,1
Krishna,Krishna12@gmail.com,,3,4,2,4,3
,,,1,2,1,2,1
Gokul,,1419632581,4,3,4,2,3
hari,hari@gmail.com,2142546510,,3,2,3,
venu,venu@gmail.com,,4,5,4,5,1
Rakshith R ,,,1,1,1,1,1
Sashwath ,sashwath@gmail.com,6444789541,4,1,3,2,2
Rahul,,,4,,,4,3
Kushal,kushal@hotmail.com,1987584976,2,2,2,,1
Vishwas,,,4,3,4,3,3
Dhawan,dhawan@gmail.com,4105289634,1,2,1,,1
Vishal,,,4,3,3,,4
Vishnu ,vishnu2@gmail.com,,,2,2,1,
Nikhil,nk@gmail.com,59874560123,3,3,4,2,1
Aashish,,,3,,3,3,3
John,john@hotmail.com,,5,4,3,4,3
vijay,vijay@gmail.com,53179456102,5,4,,5,4
